ui,dem
1769,4682
1770,4681
1771,4659
1772,4668
1773,4723
1774,4672
1775,4710
1776,4704
1777,4746
1778,4530
1779,4502
1780,4583
1781,4664
1782,4653
1783,4698
1784,4635
1785,4591
1786,4555
1787,4912
1788,5119
1789,5097
1790,5050
1791,5246
1792,5130
1793,5201
1794,4969
1795,4971
1796,4874
1797,4691
1798,4674
1799,4550
1800,4566
1801,4583
1802,4559
1803,4586
1804,4580
1805,4661
1806,4671
1807,4536
1808,4594
1809,4510
1810,4537
1811,4532
1812,4533
1813,4509
1814,4505
1815,4505
1816,4646
1817,4670
1818,4597
1819,4549
1820,4685
1821,4721
1822,4713
1823,4731
1824,4720
1825,4744
1826,4711
1827,3882
1828,4428
1829,4433
1830,4417
1831,4417
1832,4494
1833,4453
1834,4992
1835,5165
1836,4537
1837,4896
1838,5149
1839,5124
1840,4392
1841,4513
1842,5073
1843,2662
1844,3143
1845,2673
1846,2667
1847,4466
1848,4471
1849,4425
1850,4464
1851,4454
1852,4420
1853,4513
1854,4430
1855,4408
1856,4384
1857,4506
1858,4483
1859,4486
1860,4480
1861,4463
1862,4479
1863,4495
1864,4496
1865,4475
1866,5268
1867,5074
1868,4887
1869,4707
1870,4750
1871,4706
1872,4704
1873,4715
1874,4726
1875,4615
1876,4745
1877,4553
1878,4374
1879,4973
1880,5007
1881,5028
1882,4911
1883,4900
1884,4924
1885,4901
1886,4895
1887,4879
1888,4838
1889,4961
1890,4906
1891,4498
1892,4932
1893,4463
1894,4604
1895,4716
1896,4739
1897,4706
1898,4629
1899,4478
1900,4641
1901,3998
1902,3159
1903,2658
1904,3957
1905,4573
1906,4606
1907,4568
1908,4566
1909,4482
1910,4492
1911,4388
1912,4543
1913,4543
1914,4540
1915,4529
1916,4532
1917,4536
1918,4462
1919,4461
1920,4712
1921,4731
1922,4739
1923,3937
1924,3999
1925,4778
1926,4190
1927,3808
1928,3841
1929,3475
1930,4213
1931,4061
1932,4079
1933,4384
1934,4180
1935,4310
1936,3018
1937,2789
1938,2780
1939,2832
1940,4102
1941,4540
1942,4279
1943,4328
1944,4297
1945,4457
1946,4526
1947,4523
1948,4579
1949,4414
1950,4660
1951,4601
1952,4282
1953,4458
1954,4046
1955,4092
1956,3058
1957,4235
1958,4036
1959,4066
1960,4109
1961,4086
1962,4253
1963,4267
1964,4311
1965,4296
1966,4463
1967,4421
1968,4494
1969,4246
1970,4233
1971,4214
1972,4200
1973,4222
1974,4211
1975,4224
1976,4233
1977,4211
1978,4203
1979,4213
1980,4242
1981,4263
1982,4210
1983,4165
1984,4594
1985,4427
1986,4873
1987,4944
1988,3480
1989,3920
1990,3906
1991,3914
1992,3959
1993,4287
1994,4215
1995,3195
1996,3172
1997,2972
1998,2890
1999,2861
2000,2571
2001,4373
2002,4033
2003,4274
2004,2180
2005,4027
2006,3978
2007,4073
2008,4199
2009,4182
2010,4382
2011,4261
2012,4137
2013,4614
2014,4483
2015,4316
2016,4829
2017,4568
2018,4444
2019,4423
2020,4427
2021,4592
2022,4507
2023,4492
2033,4827
2034,4505
2035,4980
2036,4226
2037,4681
2038,4685
2039,4708
2040,4783
2041,4820
2042,4906
2043,4859
2044,4843
2045,5042
2046,4968
2047,4982
2048,4842
2049,4942
2050,4943
2051,4777
2052,4788
2053,4791
2054,4794
2055,4965
2056,4963
2057,4965
2058,4967
2059,4956
2060,4846
2061,4810
2062,4851
2063,4862
2064,4875
2065,4931
2066,4986
2067,4918
2068,4915
2069,4878
2070,4886
2071,4859
2072,4845
2073,4848
2074,4804
2075,4708
2076,4687
2077,4706
2078,4955
2079,4957
2080,5029
2081,5069
2082,5044
2083,5049
2084,4858
2085,5313
2086,4496
2087,4537
2088,4532
2089,4541
2090,4601
2091,4453
2092,4455
2093,4454
2094,4595
2095,4550
2096,4556
2097,4479
2098,4546
2099,4427
2100,4425
2101,4435
2102,4593
2103,4602
2104,4602
2105,4566
2106,4677
2107,4653
2108,4587
2109,4816
2110,4651
2111,4866
2112,4310
2113,4704
2114,4769
2115,4693
2116,4734
2117,4814
2118,4736
2119,4483
2120,4360
2121,4365
2122,4454
2123,4446
2124,4457
2125,4485
2126,4846
2127,4477
2128,4397
2129,4399
2130,5074
2131,4552
2132,5447
2133,5141
2134,5212
2135,4602
2136,4831
2137,5061
2138,4600
2139,4630
2140,5005
2141,5375
2142,5428
2143,4577
2144,4566
2145,4570
2146,4577
2147,4890
2148,4905
2149,4957
2150,4965
2151,4500
2152,4813
2153,4748
2154,4705
2155,4776
2156,5042
2157,5018
2158,5052
2159,5049
2160,5025
2161,5013
2162,5019
2163,5049
2164,4977
2165,4968
2166,5050
2167,4908
2168,4899
2169,4912
2170,4904
2171,4912
2172,5003
2173,5002
2174,4906
2175,4896
2176,4877
2177,4874
2178,4882
2179,4911
2180,5086
2181,5022
2182,5008
2183,5087
2184,5095
2185,5081
2186,4987
2187,4949
2188,4854
2189,5011
2190,4884
2191,4867
2192,4875
2193,4863
2194,4870
2195,4786
2196,4780
2197,4791
2198,4961
2199,5053
2200,5061
2201,5061
2202,4964
2203,4807
2204,4927
2205,5081
2206,5108
2207,5244
2208,4858
2209,4852
2210,4890
2211,5162
2212,5200
2213,4874
2214,4801
2215,4902
2216,4824
2217,4878
2218,4804
2219,4801
2220,4786
2221,4884
2222,4916
2223,4906
2224,5048
2225,4962
2226,4960
2227,4749
2228,4674
2229,4904
2230,4920
2231,4722
2232,5207
2233,4651
2234,5031
2235,5039
2236,5022
2237,5031
2238,4752
2239,4764
2240,4779
2241,4735
2242,4885
2243,4881
2244,4864
2245,4938
2246,4936
2247,4835
2248,5191
2249,5312
2250,4974
2251,4844
2252,4866
2253,4849
2254,5261
2255,4833
2256,4850
2257,4578
2258,4570
2259,4797
2260,4383
2261,4393
2262,4400
2263,4687
2264,4487
2265,4660
2266,4665
2267,4669
2268,4608
2269,4613
2270,4631
2271,4582
2272,4586
2273,5114
2274,5006
2275,5010
2276,4950
2277,4640
2278,4654
2279,4584
2280,4616
2281,4636
2282,4691
2283,4686
2284,4741
2285,5569
2286,5161
2287,5240
2288,4543
2289,4540
2290,4551
2291,4770
2292,4579
2293,4848
2294,5065
2295,5056
2296,4571
2297,4583
2298,4606
2299,4630
2300,4642
2301,4671
2302,4674
2303,4683
2304,4658
2305,4963
2306,4955
2307,4944
2308,4867
2309,4688
2310,5332
2311,5342
2312,5122
2313,5039
2314,5146
2315,4830
2316,4758
2317,4755
2318,4778
2319,4716
2320,4481
2321,5021
2322,4534
2323,4587
2324,4559
2325,5354
2326,5293
2327,4641
2328,4638
2329,5211
2330,5166
2331,5069
2332,5344
2333,5306
2334,4506
2335,4667
2336,4703
2337,5084
2338,5060
2339,4449
2340,4648
2341,4784
2342,4789
2343,4778
2344,4722
2345,4474
2346,4488
2347,4473
2348,4467
2349,4635
2350,4471
2351,4810
2352,4971
2353,4957
2354,4591
2355,4470
2356,4468
2357,4485
2358,4451
2359,4559
2360,4533
2361,4605
2362,4580
2363,4584
2364,4634
2365,4631
2366,5101
2367,4775
2368,5086
2369,5102
2370,4955
2371,4801
2372,4789
2373,4845
2374,4869
2375,4986
2376,4914
2377,4864
2378,5088
2379,4903
2380,4909
2381,4813
2382,4815
2383,4735
2384,4740
2385,4909
2386,4904
2387,4836
2388,4728
2389,4743
2390,4676
2391,4537
2392,4699
2393,4687
2394,4708
2395,4727
2396,4834
2397,4821
2398,4828
2399,4731
2400,4838
2401,4861
2402,5153
2403,4733
2404,4837
2405,4913
2406,4796
2407,4780
2408,4781
2409,4782
2410,4784
2411,4767
2412,4924
2413,4906
2414,4910
2415,5012
2416,4917
2417,4919
2418,4911
2419,4911
2420,4922
2421,5066
2422,4939
2423,5083
2424,4877
2425,4778
2426,4954
2427,4907
2428,4948
2429,4884
2430,4824
2431,4815
2432,4820
2433,4944
2434,4924
2435,4952
2436,5003
2437,5063
2438,4941
2439,4799
2440,4865
2441,4840
2442,4837
2443,4941
